Mol. index,alpha1,alpha2,alpha3,cluster,6-1-14-20,1-6-13-19,25-26-34-39,26-25-33-38,44-45-53-58,45-44-52-57,63-64-72-77,64-63-71-76,subcluster
1072,113.54024216632452,73.18725667054436,118.09400736301936,1,-13.630790991282586,185.61532927564707,-13.063094187668566,151.9000138733753,4.585973485237732,179.82534153190403,178.6196151481421,40.345173819049776,0
1111,114.26422260357717,67.89210276916803,127.12860138521928,1,-10.005655632330653,190.1376549088787,159.79811563557746,165.44384432973624,7.885267883257478,201.80684838345454,162.17217415461292,-25.219242325566352,3
1221,115.50329000822956,63.9027866960875,122.83149758838044,1,171.85490564121272,31.44217010566316,7.766653684263762,171.09884034899295,-6.711080816465375,192.9314869317407,28.643713230732008,6.654000218593862,2
1228,117.74267924014966,78.18359840389513,125.35364776246496,1,177.67934687048944,11.43538705419806,-5.519377813078332,163.27452729460947,1.070927277291576,179.3111151424398,159.66683978249378,-8.607111426048613,8
1229,112.50597914812376,73.4332774563202,113.84244043757482,1,203.18225812804752,-8.44795149919008,-4.807948429469146,170.30914653031357,-9.993238167174782,179.68948711378442,170.58491034796216,9.711499990121698,8
1243,99.8699875314383,79.32721243257868,113.64081164717572,1,40.46124485301613,174.1980628443578,8.550250140295006,183.23540520234783,-0.988355321428208,165.32584225971578,197.44170449128666,9.869388669268378,0
1247,103.31388486434209,71.08381482606336,109.7557096147197,1,-5.997201268076651,171.7475259357121,-24.752844128908382,163.71113618710626,-2.357728035109235,197.63681310637074,169.79968001598291,13.697872952683236,0
1252,108.31125813745982,64.81469162060081,117.2264900643215,1,-4.631303461638637,207.81709706821175,23.85287369600751,177.59804652926124,-4.807785163144941,173.89432552364437,195.76672712453367,22.11375642667302,0
1255,119.4540734416374,64.36642636316307,109.74240910504038,1,-11.567930705680912,203.4343824602951,-8.322778374203104,141.6714202774975,1.2405828904140803,174.78848277506663,194.3841896655743,4.364541048305942,0
1257,120.2895653726657,66.35467804175593,121.79701301465468,1,19.16442164883119,184.99710405766237,6.565406697523844,151.33087948979028,-26.531422733820985,176.8522121623017,153.9926529650858,15.182513195736268,0
1258,119.88526317739526,66.30088588771831,118.312529191392,1,-15.921622732846073,190.16572050151026,3.3971728400026184,181.28891459115874,-4.985212645961273,214.79209735954308,173.0071223762896,17.620054064534063,0
1260,111.26349281333182,63.98265909056318,109.77550690395564,1,2.263699175532783,191.05661280020746,12.501091021753938,189.198705824999,-14.778712511881752,186.68695686742075,210.902075766742,19.80652054925014,0
1261,116.5297059629753,66.52580191092845,113.49447309233196,1,-17.89537341858389,174.9565150925558,21.165791856525928,176.24446195329153,-19.011602207596933,179.00843020103034,178.57176598135612,24.41733266139758,0
1262,111.02788175635332,66.53788484830238,114.73225967155058,1,-10.529216285188882,151.18169259073477,8.423838111837687,159.12319219546973,-1.1795437733506189,182.96562838058844,188.6828357662083,-7.95655576710734,0
1266,119.13967186228064,67.46127386514071,121.56356901257914,1,12.450153382165732,165.6369192089189,27.53795141104889,128.15494589586586,12.31933244257944,192.97588917276164,161.00860370709458,22.758279285043056,0
1268,105.83592683049592,61.73391490436224,121.7122904601652,1,-13.678279469871912,158.44610009163958,0.7067502816230331,190.08453922796537,-8.805602903344402,192.8580207035813,170.06888151686402,-0.1416194932054141,0
1270,104.01443786522248,77.10336361416746,124.87726530905768,1,2.180977593419308,158.1992217424093,9.908296783012943,167.48354373616445,-10.37045615457833,194.55729179881735,158.55914729352392,1.372689474981957,0
1294,110.09220311074552,67.29539110282214,115.80193603147634,1,29.29971571414505,181.8962755215589,169.97531791816985,201.2991146063942,23.313307809213565,215.52687966567146,173.7507268433814,12.495721908370523,3
1358,109.8305414058878,64.81040861167789,107.4964227469899,1,-11.35430161847167,204.6150097529584,16.580083936254738,173.2738851882288,3.3331547837327875,199.8559656461524,173.53056345326056,-7.4599402481750365,0
1574,107.04232614577164,72.02495546826523,114.27926388811991,1,20.63024608019376,176.79624433741128,7.774038537176869,192.45152764458405,194.04682337049667,21.52390507400811,194.36811549677648,-10.515838905042816,7
32,82.41705941928242,66.59054879175264,77.89059412189881,2,-11.796217377577369,163.2409629391729,-3.766560320980163,178.85577328292734,11.92210655417491,178.1487733166434,-26.95806401912628,-33.480977076837945,7
131,84.38257840406169,75.24410927843414,77.86810971592715,2,18.93369728894694,162.99472208572172,161.08877576418223,201.73470255257897,-12.12642929789963,208.95227504257085,172.58264884003663,-7.126355324830542,4
229,87.7615862454173,65.44470093022234,70.9883798749495,2,1.079547577722851,182.78343699134984,25.97017942843223,161.6237652136918,22.70561354186797,173.6488882291208,13.143877851769108,183.39954511114075,3
409,83.00563416813877,79.10766107497481,88.49388823773204,2,-18.00573246830728,192.34943170430694,164.3169176672728,163.00854111499692,-2.035094076123882,175.28788368116372,190.7083173291497,16.988223895034636,4
