Mol. index,alpha1,alpha2,alpha3,cluster,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,subcluster
538,97.56166066625364,71.1617131978345,83.36966955926762,2,14.346496106198211,165.19448087531114,-9.215871034961369,181.14024820273116,184.60997318203582,193.8514042413027,3
575,106.0661119171076,74.94389412263054,74.96870462464952,2,-4.507873812173525,172.3316287846254,202.5699942530598,211.91404384329735,-3.706879311334599,175.47165305916909,2
592,102.11812043295092,79.99709116225358,75.78093799343131,2,10.266224283869322,180.4536237423784,180.01508300150675,168.77754799903786,-5.12524432303676,209.62881200774854,2
639,110.624415179676,73.50253593266466,75.72439923504449,2,9.34215064052374,177.12062881473105,9.061975022151977,194.57513234195682,177.46081005368217,15.925303137257382,0
641,98.97993682183092,72.75066097177248,80.62208322548645,2,-4.539042828226767,174.75074224678664,1.6656318964751202,208.1234744613208,165.0466664353145,14.908115437634176,0
804,117.87644575358254,77.76847075105071,74.68970161587946,2,21.553799450587984,171.62157607637653,1.422645427999404,180.36050124154212,189.73303613729317,-3.6516758778668823,0
817,99.02758212356385,81.29692401144146,72.57263162168212,2,19.59165515011208,134.9708225516384,6.311176648318094,219.06615545060157,186.51211430284692,5.272489904941372,0
846,119.14699431036068,78.72769482578535,82.12410902540053,2,1.9526915070541293,176.60135976139998,2.954405162757727,200.65241138825547,191.09016362622225,-12.116761069665278,0
883,118.76371286347565,86.80871307977417,80.57286715420832,2,25.319313211566,155.22805296847358,-3.925649581318576,167.98793173366715,185.5140175900246,2.7950363992216283,0
889,112.7020732303315,77.92185077311176,70.13795028317182,2,-3.3200201926986104,183.44600520748784,-6.505777695752998,190.40963170791142,160.5007431571066,8.486736404717087,0
962,117.3878747960359,77.17425336070725,75.26381847346813,2,-6.502570724804411,162.21475800872167,-33.48971016186497,183.279832170755,-0.3579355803435787,169.1612561075726,1
1038,109.5035294180367,79.81814185810254,74.45606900882431,2,10.965763824072464,151.38557398369878,-1.3002724851347758,184.00490711170755,187.6492727029443,-10.858123558282111,0
1083,104.93589238709944,71.93505253147373,77.92939090536812,2,154.09901244906408,179.75726159145003,-19.21458935011992,186.8657556992982,183.35398494710694,7.767089202198674,0
1095,100.95830865185876,76.9865224609537,80.33213157776954,2,2.684961817922389,190.40723137723302,10.836514138853229,210.06987703013408,177.20929609151634,12.854796225832246,0
1143,101.51707313448178,72.97149293452927,79.01773385527528,2,-6.526794644278389,198.3978578698172,19.85071575425367,195.1297396079546,170.46454285951756,-0.0917893874586648,0
1150,113.37689767605308,74.07601469263008,75.93820159863922,2,11.436378126996912,195.3974233086001,-54.37193012944511,185.43817160132656,179.10579824986485,-6.613856031109106,0
1158,109.01816400462252,70.76958193771357,80.19728456893415,2,27.18221759566788,150.41326302514406,-14.901680674063412,191.5788696122046,178.7706745086943,-10.851434633175948,0
1291,105.22283485898716,78.1440542699058,72.26885451487038,2,10.080595393846709,177.79155457648423,-12.067336688436493,182.98657523822624,194.7912236855492,-15.546477981351387,0
1356,111.47223834159286,81.888318021955,80.93752321523134,2,-18.94333776699986,176.4804556973466,3.870697157311066,168.26549493935838,191.9037573459685,16.684665199749713,0
1361,107.18668672408891,72.38558494435996,76.93011517420919,2,17.78697710552789,166.9709746700633,-24.445766140968427,184.1167093138598,192.20285687431024,26.92891688917281,0
1414,97.3653390055224,80.58730908400688,74.2923022550993,2,-8.518560766423413,190.18871931355238,0.5116547295787358,184.33894746049342,169.0375581880096,-5.947143790624524,0
1421,112.96364973982648,69.92360609106828,84.96382779374207,2,6.038090035251423,182.35289579822305,8.650955554246616,177.1628147410402,200.96925013750084,14.10229915958721,0
1423,102.31330998331528,76.88838832333082,83.2265033282645,2,4.678499746345441,154.26521677858085,7.839956780139473,191.5164146468859,171.30978992965342,8.903697572092709,0
1436,111.804993426852,69.2287878286451,77.30063332913367,2,2.511399611795919,174.86425964773838,0.4819064275318597,176.25530476950323,159.5019352999529,15.710570818405714,0
1456,113.87422221324768,77.16121861259121,79.6340437045931,2,0.3603134282060844,182.08017394440267,10.377562506819524,196.60677846153467,172.61797888318827,23.373440187382712,0
1496,104.27725743214135,67.64964317504882,85.80587474481898,2,-4.360702842508023,189.54237536674847,22.41236670881752,150.3722006340391,190.5532225198678,15.889644459951722,0
1519,107.79894354838969,70.13373987086993,77.45807404448658,2,12.77837595387684,163.18842471147053,8.227650337053051,174.08080724321587,183.30906639966065,12.32578219900922,0
1527,113.08514714813164,72.60460830295033,74.50737670737858,2,-6.991481802492498,164.1701054211552,-16.09696426027245,203.81837040265816,202.81096798494997,-12.278502190216496,0
1547,102.60720197907128,69.51426306137404,80.06890651531018,2,6.660072699107195,177.7046475885652,19.5567777212915,181.9646602079514,179.99481812397926,-5.997342062371684,0
1555,107.04213954764836,66.30995296171639,83.23069223195839,2,-2.356582960754566,159.00829365563277,27.55405699545134,196.5609761420224,165.9358856101963,22.124470663083518,0
1559,109.2138770231142,72.71762433057155,74.64428047453829,2,17.88589355952057,175.49143506361517,-2.472965686798573,156.9551953955759,194.6707191465774,-19.152084637108672,0
81,74.58368782610546,64.24428869339205,86.41855834018929,3,-7.146055547984528,175.57658521008054,-12.762263264992132,184.61101981320036,183.22881640325264,-8.910240517437181,0
97,80.81608687164817,60.077356188618985,89.79113461334234,3,29.98780064736273,193.30959923623593,-20.98984762811122,184.6630198775173,190.4356971306371,18.78642771873678,0
255,77.92216005924223,59.2454655939522,92.02666484927798,3,36.13116132881055,186.5211460971948,-1.4778251717819693,189.85343328849538,184.6478905796147,13.925469875983929,0
286,73.90664551558139,61.84927107501588,92.2132371198441,3,185.00195269635608,159.93132178186332,9.744250620748057,201.18039821735877,153.78238550266903,-8.185096165789199,3
307,72.02977785074678,61.87883727640637,89.2220790817595,3,196.21197460263073,178.33909674566135,8.161070243803977,201.47565246929153,181.3851256595586,17.186531696545348,3
426,81.19355383616131,66.06236481731264,94.50282326181248,3,-35.53289610882819,156.34573157712333,-3.508889091707412,192.09036745549668,192.97877226330695,8.821361725064973,0
537,75.5997126298113,62.96610443633921,88.5117876223063,3,1.1118391407223336,180.477152574923,-13.9722179371304,181.41724104902187,185.0482556994123,155.37289811945027,4
563,68.18079414220838,64.30541890168571,91.12000596639643,3,15.301084449531388,183.57722317281383,164.380292398393,204.2440628170067,6.347081971009205,148.42850439250952,1
573,74.05934412665638,66.34815757326115,93.03976701305908,3,0.2435693202687115,164.0119095372756,194.4551316534036,198.68734438118187,141.1855754126157,172.04514008857933,5
814,69.1852548195911,66.74034451208237,95.52160395981748,3,12.27140225797657,153.69738253244256,11.090691745529549,172.6667202202572,191.883875115267,8.113247362539337,0
850,75.0046839429553,65.6709994379518,94.79620182834242,3,-3.457745564633596,177.45993605888296,10.526012613344848,189.43546689599353,200.85273788811864,7.810563650243964,0
968,68.57010530004531,65.04995931044809,88.89576574630223,3,-9.575036079650005,205.4307917424366,179.31035382304898,189.05015083112104,-1.496585497212923,177.89289390196151,1
979,76.82129740359787,65.89349384340707,85.48720589218163,3,20.036746742080545,192.56235751193333,184.63675093980083,206.54936760994264,-5.360579804316113,162.12731967194662,1
1234,77.30767548583239,75.0678349906867,91.24491750525436,3,170.55369029670038,13.641373657800829,-6.023026536575155,183.67899597242962,220.467553625445,-18.06934505968517,2
1274,78.64596953448519,55.1722807628913,93.5947749329654,3,-4.340407768493504,152.82327929604165,-0.5119619529757377,152.56179772245093,177.46595603874107,14.213694606451565,0
1293,73.98474478094703,66.01042376380214,94.85030838767902,3,-9.220448196192642,196.46350032690864,6.948296199463637,185.3966655832306,178.89859360529616,-37.42770112558649,0
1428,68.3092136271086,70.30061376616796,90.20197084725356,3,-17.872473063780248,151.18536262933597,-3.4796775142953584,173.44039797960275,152.8717350689125,13.943086981203988,0
1586,81.1249877114739,62.043957500245966,88.73365295344429,3,-24.38560748564617,176.06285324764258,-2.4011388378825287,183.00640352115343,197.95264881872836,6.803577289320574,0
95,104.1180439020003,97.62743049742518,48.02300233686948,4,-11.36253993215304,180.33298752951006,-1.5539560195094184,199.51445297198703,181.58760912413518,17.691828838223405,0
98,94.83492310739612,97.76622834467943,56.24320941170254,4,-11.1397355809464,188.94095960297585,16.37578928778027,170.53300200172166,174.65550880960228,31.387500959364743,0
