alpha1,alpha2,alpha3,1-6-13-18,23-24-32-37,24-23-31-36,42-43-51-56,43-42-50-55,61-62-70-75,62-61-69-74,cluster
78.34687887185649,123.24417015377225,104.11551631628254,182.45734951610154,19.190158098975292,186.97533451143272,-14.38808702720193,172.43085332625498,188.06093381611524,-8.072822159083731,5.0
78.40441629476754,121.23292859587255,92.63615010715843,152.1354803182931,-9.869843411223854,167.07226033423342,22.274004276693248,192.62932132513197,-5.79756287645978,173.6148742318698,5.0
73.797469610613,111.25875848442016,92.33541561954574,174.07944578333,-25.59050329856216,180.3276679229402,163.7748566317721,31.46400313032435,164.18962510485548,-25.74268202855436,5.0
73.98565329612272,119.01784942467755,98.85715486391886,175.61432134152201,186.90964310705965,179.7447689910592,-12.431446212185653,197.6742240841239,187.29892473234676,2.9393429501968367,5.0
80.20649296648536,122.18096973298906,103.02168049241652,177.28754816209897,202.57589797480776,148.97137003453895,183.88552958816072,184.61386741005828,152.86517087847457,1.027092609397099,5.0
79.26008686465593,125.11758562538532,94.63545559540144,26.48282799632573,-4.205639877302819,165.94404641194808,19.74023882506346,191.56776382186737,-34.47992318032189,221.8973215885845,5.0
77.93931479934105,125.6759679535708,97.84292702584004,187.55663471730037,-46.556877404751695,171.97955366894027,157.83927135227364,170.3840648095984,190.89932993681532,-8.955851818669297,5.0
76.51787232171174,126.7447120794291,103.72337183281623,174.2203637612038,-8.03227562089553,189.77794938277677,5.669418193206947,173.571382731782,164.87244103391959,16.604066987399587,5.0
72.8421473938218,118.9879396617702,100.11901136717294,175.17837369822556,-7.656647625470047,188.76852706343297,167.02637089203253,-11.843838964694761,170.35693247109643,4.888655567456342,5.0
74.43480434748896,125.85887646662368,109.12955019316914,191.6041945823649,17.303180235428446,147.4966819224942,35.95920453042115,196.0563274937772,185.66940744111648,37.72438750564959,5.0
68.52461459822257,117.55557268662896,104.61184695184384,190.62579809846432,145.69705735332286,190.1370401010643,183.776427584702,166.0518654454207,153.7210942594271,-2.807077081172968,5.0
